10/13/2013,10/14/2013,NORDSTROM # 337 LAGUNA HILLS CA,105.71,Department Stores
10/15/2013,10/15/2013,SUBWAY 03225877255 COSTA MESA CA,3.78,Restaurants
10/18/2013,10/18/2013,CHIPOTLE 0147 COSTA MESA CA,6.75,Restaurants
10/19/2013,10/19/2013,MACY*S .COM #0129 MASON OH,124.63,Department Stores
10/21/2013,10/21/2013,INTERNET PAYMENT - THANK YOU,-109.49,Payments and Credits
10/22/2013,10/22/2013,NORDSTROM DIRECT #0808 CEDAR RAPIDS IA,61.56,Merchandise
10/25/2013,10/25/2013,INTERNET PAYMENT - THANK YOU,-192.94,Payments and Credits
11/3/2013,11/3/2013,NM ONLINE 888-8884757 TX,267.84,Merchandise
11/4/2013,11/4/2013,NORDSTROM DIRECT #0808 CEDAR RAPIDS IA,193.1,Merchandise
11/6/2013,11/6/2013,INTERNET PAYMENT - THANK YOU,-267.84,Payments and Credits
11/7/2013,11/7/2013,INTERNET PAYMENT - THANK YOU,-193.1,Payments and Credits
11/7/2013,11/7/2013,SUBWAY 03225877255 COSTA MESA CA,9.13,Restaurants
11/12/2013,11/12/2013,INTERNET PAYMENT - THANK YOU,-9.13,Payments and Credits
